train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,6000,6000,1000,mse,0.009182496927678585,10.531596915389937,0.04799740035605302,0.38212546290040283,0.16291196902280697,0.5450374319232097,0.45829228799956157
2000,1001,6000,6000,1000,mse,0.01219191960990429,7.877890976484597,0.035117505110174835,0.3457589726746181,0.21199417712263097,0.5577531497972491,0.4447739002343462
3000,1501,6000,6000,1000,mse,0.011833185330033302,6.33275703903195,0.026349768461642713,0.29869491607317594,0.2712133010110457,0.5699082170842217,0.429018844866815
4000,2001,6000,6000,1000,mse,0.011369059793651104,6.176259569398134,0.023305540631656872,0.276920749971141,0.2989577991861784,0.5758785491573194,0.41951747420067687
5000,2501,6000,6000,1000,mse,0.011387938633561134,6.012665090809068,0.02203536341629399,0.2686740381647385,0.30927346709314907,0.5779475052578875,0.4163923411733571
6000,3001,6000,6000,1000,mse,0.011030541732907295,5.96311009158179,0.021614932997028283,0.26092339018848293,0.31393188103081526,0.5748552712192981,0.41448269765600665
