train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,6000,6000,1000,mse,0.00021283855312503874,15.916774584613297,0.06978061279292268,0.4128994740150973,0.1170295141750269,0.5299289881901241,0.47512194085709425
2000,1001,6000,6000,1000,mse,0.0006976320291869342,11.59889821378365,0.05171348966414652,0.3901924376655311,0.1468691943273632,0.5370616319928944,0.4659156760633064
3000,1501,6000,6000,1000,mse,0.0010335129918530583,10.016135103588901,0.04245935619803382,0.3787958591615934,0.1581964346698652,0.5369922938314586,0.46086247658885904
4000,2001,6000,6000,1000,mse,0.001483551342971623,8.39548726309478,0.034616085855755714,0.357098945860218,0.18626872293909597,0.543367668799314,0.45234206375762387
5000,2501,6000,6000,1000,mse,0.001922537456266582,7.104515075286927,0.028345157107796358,0.34539802295007027,0.2004770427303591,0.5458750656804294,0.4465622762803234
6000,3001,6000,6000,1000,mse,0.0022599094081670046,6.432953911404219,0.02595014531671561,0.3360318374360943,0.2155369141868065,0.5515687516229009,0.44149360402740284
