train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,6000,6000,1000,mse,0.0015348457964137197,14.623184025556002,0.06573066653449129,0.40680321017976073,0.12418702931250397,0.5309902394922646,0.4705450297484261
2000,1001,6000,6000,1000,mse,0.003056687768548727,10.952686821927422,0.04792462343499859,0.3856468086966059,0.1546460636595712,0.5402928723561771,0.4647010716355055
3000,1501,6000,6000,1000,mse,0.004113420844078064,8.45459520468767,0.037316496550215815,0.35837147660451446,0.18860961293576392,0.5469810895402784,0.45377617540957993
4000,2001,6000,6000,1000,mse,0.004455524496734142,7.32358528805451,0.031461277179578355,0.34127447493644175,0.21270488187933878,0.5539793568157806,0.4442092804851756
5000,2501,6000,6000,1000,mse,0.004705613013356924,6.4573094423885955,0.02662349831158616,0.32003789389633625,0.23740328487884513,0.5574411787751813,0.4420402436432564
6000,3001,6000,6000,1000,mse,0.005358576308935881,6.1077426805280455,0.02465026278464393,0.30795276872826355,0.25175988996366855,0.5597126586919321,0.43439651259834505
