train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,1.1495091712276917e-05,2.2595659174839966e-06,7.134269562109687,5.772016605790329,6.37269503695748,"(10, 10)","(11, 122)",14,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.14153174818563247, 0.3684666347120369], 'ranks_before': (10, 10), 'ranks_target': (20, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (11, 14), 'expand_loss': 1.912920652102912e-06, 'compress_loss': 3.202167590643512e-06, 'prev_best_val': 7.134269562109687, 'candidate_val': 6.921111949721223, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.11435113188570141, 0.19883742518007014], 'ranks_before': (11, 14), 'ranks_target': (22, 28), 'ranks_after_expand': (22, 28), 'ranks_after_compress': (11, 19), 'expand_loss': 5.064633228357707e-07, 'compress_loss': 2.8041249606758356e-06, 'prev_best_val': 6.921111949721223, 'candidate_val': 6.777838818944171, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.13280564230035397, 0.11012373540471301], 'ranks_before': (11, 19), 'ranks_target': (22, 38), 'ranks_after_expand': (22, 38), 'ranks_after_compress': (11, 28), 'expand_loss': 5.731809551434708e-07, 'compress_loss': 2.764386863418622e-06, 'prev_best_val': 6.777838818944171, 'candidate_val': 6.61905918765855, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.13874433679225825, 0.07517265371566277], 'ranks_before': (11, 28), 'ranks_target': (22, 56), 'ranks_after_expand': (22, 56), 'ranks_after_compress': (11, 41), 'expand_loss': 3.081601676058199e-07, 'compress_loss': 2.820426516336738e-06, 'prev_best_val': 6.61905918765855, 'candidate_val': 6.45567545442316, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.12412551429463427, 0.08514175692668828], 'ranks_before': (11, 41), 'ranks_target': (22, 82), 'ranks_after_expand': (22, 82), 'ranks_after_compress': (11, 51), 'expand_loss': 2.589672760677786e-07, 'compress_loss': 2.6443838123668684e-06, 'prev_best_val': 6.45567545442316, 'candidate_val': 6.366422551105083, 'improved': True}, {'trial': 6, 'strategy': 'double_all', 'sv_ratios': [0.120547500781689, 0.09378016272080938], 'ranks_before': (11, 51), 'ranks_target': (22, 102), 'ranks_after_expand': (22, 102), 'ranks_after_compress': (11, 64), 'expand_loss': 2.750940097939747e-07, 'compress_loss': 2.6321040422772057e-06, 'prev_best_val': 6.366422551105083, 'candidate_val': 6.271721282019508, 'improved': True}, {'trial': 7, 'strategy': 'double_all', 'sv_ratios': [0.12390153216204675, 0.06935378599367804], 'ranks_before': (11, 64), 'ranks_target': (22, 128), 'ranks_after_expand': (22, 128), 'ranks_after_compress': (11, 68), 'expand_loss': 1.9653838023714343e-07, 'compress_loss': 2.596072818050743e-06, 'prev_best_val': 6.271721282019508, 'candidate_val': 6.172276909129301, 'improved': True}, {'trial': 8, 'strategy': 'double_all', 'sv_ratios': [0.1328065498699593, 0.057330749509539425], 'ranks_before': (11, 68), 'ranks_target': (22, 136), 'ranks_after_expand': (22, 136), 'ranks_after_compress': (11, 75), 'expand_loss': 2.4458054781462124e-07, 'compress_loss': 2.5730694233061513e-06, 'prev_best_val': 6.172276909129301, 'candidate_val': 6.092766042756723, 'improved': True}, {'trial': 9, 'strategy': 'double_all', 'sv_ratios': [0.13735975266030587, 0.06813872918090355], 'ranks_before': (11, 75), 'ranks_target': (22, 150), 'ranks_after_expand': (22, 150), 'ranks_after_compress': (11, 84), 'expand_loss': 1.7914801730967156e-07, 'compress_loss': 2.529200401113485e-06, 'prev_best_val': 6.092766042756723, 'candidate_val': 6.02643021579866, 'improved': True}, {'trial': 10, 'strategy': 'double_all', 'sv_ratios': [0.13296185784899187, 0.05863434875581659], 'ranks_before': (11, 84), 'ranks_target': (22, 168), 'ranks_after_expand': (22, 168), 'ranks_after_compress': (11, 97), 'expand_loss': 1.3389798425578192e-07, 'compress_loss': 2.438821184114204e-06, 'prev_best_val': 6.02643021579866, 'candidate_val': 5.9309364404355875, 'improved': True}, {'trial': 11, 'strategy': 'double_all', 'sv_ratios': [0.130343637296569, 0.050361097975799046], 'ranks_before': (11, 97), 'ranks_target': (22, 194), 'ranks_after_expand': (22, 194), 'ranks_after_compress': (11, 101), 'expand_loss': 1.7778783956146071e-07, 'compress_loss': 2.356689947191626e-06, 'prev_best_val': 5.9309364404355875, 'candidate_val': 5.872565115959828, 'improved': True}, {'trial': 12, 'strategy': 'double_all', 'sv_ratios': [0.1312381619095543, 0.06295032807978022], 'ranks_before': (11, 101), 'ranks_target': (22, 202), 'ranks_after_expand': (22, 202), 'ranks_after_compress': (11, 115), 'expand_loss': 1.664467106365919e-07, 'compress_loss': 2.3275601961358916e-06, 'prev_best_val': 5.872565115959828, 'candidate_val': 5.815620053305967, 'improved': True}, {'trial': 13, 'strategy': 'double_all', 'sv_ratios': [0.13018795113478437, 0.08819088631922009], 'ranks_before': (11, 115), 'ranks_target': (22, 230), 'ranks_after_expand': (22, 230), 'ranks_after_compress': (11, 122), 'expand_loss': 1.6220595000504545e-07, 'compress_loss': 2.2595659174839966e-06, 'prev_best_val': 5.815620053305967, 'candidate_val': 5.772016605790329, 'improved': True}, {'trial': 14, 'strategy': 'double_all', 'sv_ratios': [0.12895139116176002, 0.06310764955750972], 'ranks_before': (11, 122), 'ranks_target': (22, 244), 'ranks_after_expand': (22, 244), 'ranks_after_compress': (12, 14), 'expand_loss': 3.079747693846002e-05, 'compress_loss': 4.526631073531462e-06, 'prev_best_val': 5.772016605790329, 'candidate_val': 5.989466092348898, 'improved': False}]"
2000,1001,2000,1000,2.3428832719218917e-05,1.1536016017998918e-06,5.9173621356327315,4.014131086000064,5.062787154619318,"(10, 10)","(13, 24)",16,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.1513287916114373, 0.22735363799782143], 'ranks_before': (10, 10), 'ranks_target': (20, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (11, 16), 'expand_loss': 7.209674095065566e-06, 'compress_loss': 9.514189514447935e-06, 'prev_best_val': 5.9173621356327315, 'candidate_val': 5.582369085468973, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.13443923481759376, 0.10914350191061759], 'ranks_before': (11, 16), 'ranks_target': (22, 32), 'ranks_after_expand': (22, 32), 'ranks_after_compress': (12, 18), 'expand_loss': 2.20886636270734e-06, 'compress_loss': 4.042030923301354e-06, 'prev_best_val': 5.582369085468973, 'candidate_val': 5.148351187719082, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.10129344175567802, 0.08563330851682031], 'ranks_before': (12, 18), 'ranks_target': (24, 36), 'ranks_after_expand': (24, 36), 'ranks_after_compress': (12, 20), 'expand_loss': 1.6916700360525283e-06, 'compress_loss': 3.390061465324834e-06, 'prev_best_val': 5.148351187719082, 'candidate_val': 4.897391062802449, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.10262706804875543, 0.09528551759450106], 'ranks_before': (12, 20), 'ranks_target': (24, 40), 'ranks_after_expand': (24, 40), 'ranks_after_compress': (12, 21), 'expand_loss': 9.920032653099042e-07, 'compress_loss': 2.946517270174809e-06, 'prev_best_val': 4.897391062802449, 'candidate_val': 4.669097799529533, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.12441937251330608, 0.06920182404000473], 'ranks_before': (12, 21), 'ranks_target': (24, 42), 'ranks_after_expand': (24, 42), 'ranks_after_compress': (12, 23), 'expand_loss': 5.776565785708954e-07, 'compress_loss': 2.6905529466603184e-06, 'prev_best_val': 4.669097799529533, 'candidate_val': 4.528642104395616, 'improved': True}, {'trial': 6, 'strategy': 'double_all', 'sv_ratios': [0.1288618386851371, 0.09028174053200622], 'ranks_before': (12, 23), 'ranks_target': (24, 46), 'ranks_after_expand': (24, 46), 'ranks_after_compress': (12, 23), 'expand_loss': 5.269799885354587e-07, 'compress_loss': 2.4944886263256194e-06, 'prev_best_val': 4.528642104395616, 'candidate_val': 4.4065068115556265, 'improved': True}, {'trial': 7, 'strategy': 'double_all', 'sv_ratios': [0.15959654831257566, 0.05042351266987019], 'ranks_before': (12, 23), 'ranks_target': (24, 46), 'ranks_after_expand': (24, 46), 'ranks_after_compress': (12, 20), 'expand_loss': 4.7121682200668147e-07, 'compress_loss': 2.3955055894475663e-06, 'prev_best_val': 4.4065068115556265, 'candidate_val': 4.324305186566751, 'improved': True}, {'trial': 8, 'strategy': 'double_all', 'sv_ratios': [0.17741505460642154, 0.0765291321661844], 'ranks_before': (12, 20), 'ranks_target': (24, 40), 'ranks_after_expand': (24, 40), 'ranks_after_compress': (12, 23), 'expand_loss': 3.3984983360824117e-07, 'compress_loss': 2.314372522960184e-06, 'prev_best_val': 4.324305186566751, 'candidate_val': 4.25062523098691, 'improved': True}, {'trial': 9, 'strategy': 'double_all', 'sv_ratios': [0.20623124720017275, 0.11121977938525027], 'ranks_before': (12, 23), 'ranks_target': (24, 46), 'ranks_after_expand': (24, 46), 'ranks_after_compress': (12, 30), 'expand_loss': 3.248875373174087e-07, 'compress_loss': 2.2342394458974013e-06, 'prev_best_val': 4.25062523098691, 'candidate_val': 4.188119714056677, 'improved': True}, {'trial': 10, 'strategy': 'double_all', 'sv_ratios': [0.22394230928204562, 0.058858327808027036], 'ranks_before': (12, 30), 'ranks_target': (24, 60), 'ranks_after_expand': (24, 60), 'ranks_after_compress': (12, 34), 'expand_loss': 3.246719586513791e-07, 'compress_loss': 2.1285261482262285e-06, 'prev_best_val': 4.188119714056677, 'candidate_val': 4.134143099105505, 'improved': True}, {'trial': 11, 'strategy': 'double_all', 'sv_ratios': [0.23828120147202445, 0.05124965667160255], 'ranks_before': (12, 34), 'ranks_target': (24, 68), 'ranks_after_expand': (24, 68), 'ranks_after_compress': (12, 38), 'expand_loss': 2.688984466203692e-07, 'compress_loss': 2.0450283955142368e-06, 'prev_best_val': 4.134143099105505, 'candidate_val': 4.096112748507444, 'improved': True}, {'trial': 12, 'strategy': 'double_all', 'sv_ratios': [0.263313007314414, 0.03806204581308506], 'ranks_before': (12, 38), 'ranks_target': (24, 76), 'ranks_after_expand': (24, 76), 'ranks_after_compress': (12, 33), 'expand_loss': 3.561124231055146e-07, 'compress_loss': 1.953198079718277e-06, 'prev_best_val': 4.096112748507444, 'candidate_val': 4.071086893585943, 'improved': True}, {'trial': 13, 'strategy': 'double_all', 'sv_ratios': [0.29878540878214804, 0.052184927746332946], 'ranks_before': (12, 33), 'ranks_target': (24, 66), 'ranks_after_expand': (24, 66), 'ranks_after_compress': (12, 27), 'expand_loss': 2.2735422078312695e-07, 'compress_loss': 1.8525331597629702e-06, 'prev_best_val': 4.071086893585943, 'candidate_val': 4.045908767874997, 'improved': True}, {'trial': 14, 'strategy': 'double_all', 'sv_ratios': [0.3240622182222366, 0.03681195421419529], 'ranks_before': (12, 27), 'ranks_target': (24, 54), 'ranks_after_expand': (24, 54), 'ranks_after_compress': (12, 23), 'expand_loss': 2.310270161842709e-07, 'compress_loss': 1.7284878595091868e-06, 'prev_best_val': 4.045908767874997, 'candidate_val': 4.032972935042696, 'improved': True}, {'trial': 15, 'strategy': 'double_all', 'sv_ratios': [0.34109232260622097, 0.051152484058342294], 'ranks_before': (12, 23), 'ranks_target': (24, 46), 'ranks_after_expand': (24, 46), 'ranks_after_compress': (13, 24), 'expand_loss': 2.9636694875989633e-07, 'compress_loss': 1.1536016017998918e-06, 'prev_best_val': 4.032972935042696, 'candidate_val': 4.014131086000064, 'improved': True}, {'trial': 16, 'strategy': 'double_all', 'sv_ratios': [0.10354567053293154, 0.11961376524118059], 'ranks_before': (13, 24), 'ranks_target': (26, 48), 'ranks_after_expand': (26, 48), 'ranks_after_compress': (12, 31), 'expand_loss': 2.0458341509765887e-07, 'compress_loss': 1.612182813914842e-06, 'prev_best_val': 4.014131086000064, 'candidate_val': 4.015574189897446, 'improved': False}]"
3000,1501,3000,1000,3.265087798354216e-05,2.7808619051938877e-06,4.383652846816854,3.7327988294709162,4.7420164597855035,"(10, 10)","(12, 20)",6,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.1226680242773678, 0.27731612032829545], 'ranks_before': (10, 10), 'ranks_target': (20, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (11, 17), 'expand_loss': 6.602840585401282e-06, 'compress_loss': 1.1142463336000219e-05, 'prev_best_val': 4.383652846816854, 'candidate_val': 4.213850829319774, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.1367154478028551, 0.08689893373594074], 'ranks_before': (11, 17), 'ranks_target': (22, 34), 'ranks_after_expand': (22, 34), 'ranks_after_compress': (11, 17), 'expand_loss': 3.6874421311949845e-06, 'compress_loss': 8.534685548511334e-06, 'prev_best_val': 4.213850829319774, 'candidate_val': 4.036433070426304, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.16567394269628782, 0.08930339110855935], 'ranks_before': (11, 17), 'ranks_target': (22, 34), 'ranks_after_expand': (22, 34), 'ranks_after_compress': (11, 17), 'expand_loss': 2.2776032437832328e-06, 'compress_loss': 7.084959634084953e-06, 'prev_best_val': 4.036433070426304, 'candidate_val': 3.9220289738976217, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.21310611288704742, 0.09728212219236503], 'ranks_before': (11, 17), 'ranks_target': (22, 34), 'ranks_after_expand': (22, 34), 'ranks_after_compress': (12, 19), 'expand_loss': 5.418019281933084e-05, 'compress_loss': 3.7789748148497893e-06, 'prev_best_val': 3.9220289738976217, 'candidate_val': 3.778579940284275, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.13186605604150245, 0.10309777648894262], 'ranks_before': (12, 19), 'ranks_target': (24, 38), 'ranks_after_expand': (24, 38), 'ranks_after_compress': (12, 20), 'expand_loss': 1.0377045782661298e-06, 'compress_loss': 2.7808619051938877e-06, 'prev_best_val': 3.778579940284275, 'candidate_val': 3.7327988294709162, 'improved': True}, {'trial': 6, 'strategy': 'double_all', 'sv_ratios': [0.15744637154020255, 0.0791303033238799], 'ranks_before': (12, 20), 'ranks_target': (24, 40), 'ranks_after_expand': (24, 40), 'ranks_after_compress': (13, 21), 'expand_loss': 9.422881817044981e-07, 'compress_loss': 1.5632307395208045e-06, 'prev_best_val': 3.7327988294709162, 'candidate_val': 3.7348612868403053, 'improved': False}]"
4000,2001,4000,1000,4.152396650169976e-05,2.5583753995306324e-06,4.80815526587897,4.2644881649604605,4.166257677133623,"(10, 10)","(19, 16)",8,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.1845280373845609, 0.2553573638637248], 'ranks_before': (10, 10), 'ranks_target': (20, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (14, 18), 'expand_loss': 9.086924364964943e-06, 'compress_loss': 9.211696124111768e-06, 'prev_best_val': 4.80815526587897, 'candidate_val': 4.651219396706152, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.12443428764559566, 0.07858499818717125], 'ranks_before': (14, 18), 'ranks_target': (28, 36), 'ranks_after_expand': (28, 36), 'ranks_after_compress': (14, 17), 'expand_loss': 4.3246204768365715e-06, 'compress_loss': 5.276868250803091e-06, 'prev_best_val': 4.651219396706152, 'candidate_val': 4.506971857947299, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.19276843708089644, 0.05501202360683433], 'ranks_before': (14, 17), 'ranks_target': (28, 34), 'ranks_after_expand': (28, 34), 'ranks_after_compress': (16, 17), 'expand_loss': 5.42094639968127e-05, 'compress_loss': 5.4037454901845194e-06, 'prev_best_val': 4.506971857947299, 'candidate_val': 4.366322691341101, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.08258320716633362, 0.09936817244276948], 'ranks_before': (16, 17), 'ranks_target': (32, 34), 'ranks_after_expand': (32, 34), 'ranks_after_compress': (17, 24), 'expand_loss': 2.552366595409694e-06, 'compress_loss': 3.245878815505421e-06, 'prev_best_val': 4.366322691341101, 'candidate_val': 4.316548902287936, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.05442539455933273, 0.06093999691629122], 'ranks_before': (17, 24), 'ranks_target': (34, 48), 'ranks_after_expand': (34, 48), 'ranks_after_compress': (17, 27), 'expand_loss': 2.616754045448033e-06, 'compress_loss': 2.9538400667661335e-06, 'prev_best_val': 4.316548902287936, 'candidate_val': 4.271262478361599, 'improved': True}, {'trial': 6, 'strategy': 'double_all', 'sv_ratios': [0.12177999027563226, 0.08544739549524308], 'ranks_before': (17, 27), 'ranks_target': (34, 54), 'ranks_after_expand': (34, 54), 'ranks_after_compress': (19, 35), 'expand_loss': 1.8589159935800126e-06, 'compress_loss': 1.7253054238608456e-06, 'prev_best_val': 4.271262478361599, 'candidate_val': 4.265851649239118, 'improved': True}, {'trial': 7, 'strategy': 'double_all', 'sv_ratios': [0.08667827034874344, 0.06242078587337077], 'ranks_before': (19, 35), 'ranks_target': (38, 70), 'ranks_after_expand': (38, 70), 'ranks_after_compress': (19, 16), 'expand_loss': 2.2533084120368585e-05, 'compress_loss': 2.5583753995306324e-06, 'prev_best_val': 4.265851649239118, 'candidate_val': 4.2644881649604605, 'improved': True}, {'trial': 8, 'strategy': 'double_all', 'sv_ratios': [0.104653641740034, 0.24436688970772547], 'ranks_before': (19, 16), 'ranks_target': (38, 32), 'ranks_after_expand': (38, 32), 'ranks_after_compress': (19, 27), 'expand_loss': 8.97464303761808e-07, 'compress_loss': 1.3424349845081451e-06, 'prev_best_val': 4.2644881649604605, 'candidate_val': 4.276967316770915, 'improved': False}]"
