train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,5000,1000,1000,mse,2.2587332182411046e-07,5.336555107237198,0.02589142658781425,0.2986677178784477,0.2626313744450205,0.5612990923234681,0.42918110330560855
2000,1001,5000,1000,1000,mse,1.8840256643670727e-07,4.880846870981932,0.019495843197800438,0.2749509285256206,0.2994855812539053,0.574436509779526,0.42019912475160115
3000,1501,5000,1000,1000,mse,1.1524991805345053e-07,4.993563392233858,0.018645332451435407,0.2657834425797755,0.31309808344509477,0.5788815260248703,0.4113457004615386
4000,2001,5000,1000,1000,mse,1.43094084137374e-07,4.804348114118316,0.017858891179903393,0.25515838987050915,0.32706386013657945,0.5822222500070886,0.4084880110806231
