train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,5000,1000,1000,mse,2.0617067093553487e-06,6.915836826488338,0.03303538560355763,0.3451012025695104,0.2081045575907403,0.5532057601602507,0.45515861247566225
2000,1001,5000,1000,1000,mse,6.534235694743984e-07,5.0327461116162,0.021748931199070898,0.30834623050262916,0.2590903607433483,0.5674365912459775,0.4394683010908077
3000,1501,5000,1000,1000,mse,1.0184517122979742e-06,4.505865200991457,0.01736527282951399,0.29842142061632854,0.2653040954588881,0.5637255160752167,0.42902920146226914
4000,2001,5000,1000,1000,mse,1.6814971104395227e-06,4.054728994819044,0.015836613201236832,0.2807480166840977,0.2904324126022449,0.5711804292863426,0.41405739151347404
