train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
200,101,5000,6646,200,l1,0.001069911988452077,10.259423397062124,0.0624944233526606,0.3863975034398144,0.1537247967020328,0.5401223001418471,0.46388532247892245
240,121,5000,6646,200,l1,0.0025300111155956984,13.61896462779902,0.06668186419010116,0.40166200762702314,0.12943138129686657,0.5310933889238898,0.4694555436204557
288,145,5000,6646,200,l1,0.0024732076562941074,15.186814955632022,0.07688317379850833,0.4164371471753796,0.11001759156003368,0.5264547387354133,0.47553549904042186
346,174,5000,6646,200,l1,0.0054436675272881985,13.58420109951778,0.06639315212716362,0.4032501713293075,0.1272103533408654,0.5304605246701729,0.4709199193022499
416,209,5000,6646,200,l1,0.0052928742952644825,16.028847195716875,0.07417437674594603,0.41878561451032903,0.10499441602684248,0.5237800305371715,0.4758316130091718
500,251,5000,6646,200,l1,0.006883807945996523,14.875433832930682,0.07075222509097955,0.41343542107493886,0.11369700708241685,0.5271324281573557,0.4735569676485113
600,301,5000,6646,200,l1,0.008937872014939785,14.475323288811158,0.06981949192642777,0.41519232278446233,0.11299934179279818,0.5281916645772605,0.4736420526050176
720,361,5000,6646,200,l1,0.01293123047798872,11.126810602137699,0.055240739914066986,0.39861277172944,0.13605942092055417,0.5346721926499941,0.4681340402359495
864,433,5000,6646,200,l1,0.013842018321156502,10.651234019562052,0.05301919528852348,0.3958630237152647,0.13966667276255268,0.5355296964778175,0.46792663886495406
1037,520,5000,6646,200,l1,0.01853008195757866,11.734470890379098,0.05567804395904955,0.3985754118833773,0.13467027326156122,0.5332456851449385,0.46872348977457834
1245,624,5000,6646,200,l1,0.021854879334568977,11.483319960912318,0.053158470373936326,0.3938207859352352,0.1428423188917935,0.5366631048270286,0.46376394695998885
1494,748,5000,6646,200,l1,0.027428660541772842,9.1650527792549,0.04195888423750803,0.37305694569263387,0.16764160326440924,0.5406985489570431,0.4589378034105986
1793,898,5000,6646,200,l1,0.0812963917851448,6.893191707879077,0.0338984703236834,0.30154494841610907,0.28551690114898354,0.5870618495650927,0.42675231248328044
2152,1077,5000,6646,200,l1,0.06389083713293076,5.9008720748832575,0.02344996050065668,0.28355919246697053,0.29358501644162066,0.5771442089085912,0.4206466318192295
2583,1293,5000,6646,200,l1,0.07256282866001129,6.299152428804731,0.02271953120167543,0.2688842448670952,0.317518777974528,0.5864030228416232,0.41124028162793336
3100,1551,5000,6646,200,l1,0.07334846258163452,6.015125643928391,0.022043230944223852,0.26427784565985335,0.32118361580334,0.5854614614631933,0.4122878594926486
3720,1861,5000,6646,200,l1,0.07382586598396301,5.931537089124385,0.02203644920161147,0.26435156571849167,0.32008558151098887,0.5844371472294805,0.4126112821853235
4464,2233,5000,6646,200,l1,0.04346113279461861,5.347470675675593,0.018106558516700576,0.29250758945944677,0.2691092384304538,0.5616168278899006,0.4264959849540466
