train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.07327563315629959,0.07327563315629959,6.110453695341316,6.110453695341316,6.6545845077494645,"(2, 2, 2, 2)","(2, 2, 2, 2)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.14561658369241415, 0.11110902924059209, 0.537568776266031, 0.8656042009815915], 'ranks_before': (2, 2, 2, 2), 'ranks_target': (4, 4, 4, 4), 'ranks_after_expand': (4, 4, 4, 4), 'ranks_after_compress': (4, 4, 4, 4), 'expand_loss': 0.05502024292945862, 'compress_loss': 0.038387179374694824, 'prev_best_val': 6.110453695341316, 'candidate_val': 6.551374649848611, 'improved': False}]"
2000,1001,2000,1000,0.054781243205070496,0.054781243205070496,5.386219383191311,5.386219383191311,6.281731413293966,"(2, 2, 2, 2)","(2, 2, 2, 2)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.7317049988418507, 0.5543427041956328, 0.612446826409214, 0.5524033968252481], 'ranks_before': (2, 2, 2, 2), 'ranks_target': (4, 4, 4, 4), 'ranks_after_expand': (4, 4, 4, 4), 'ranks_after_compress': (4, 4, 4, 4), 'expand_loss': 0.039106253534555435, 'compress_loss': 0.026365919038653374, 'prev_best_val': 5.386219383191311, 'candidate_val': 6.41116460655129, 'improved': False}]"
3000,1501,3000,1000,0.054853130131959915,0.054853130131959915,5.227114142108233,5.227114142108233,6.231015796876389,"(2, 2, 2, 2)","(2, 2, 2, 2)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.5248633686833223, 0.52033761442326, 0.8472706215400444, 0.2670975030671342], 'ranks_before': (2, 2, 2, 2), 'ranks_target': (4, 4, 4, 4), 'ranks_after_expand': (4, 4, 4, 4), 'ranks_after_compress': (4, 3, 4, 4), 'expand_loss': 0.043219201266765594, 'compress_loss': 0.03238344565033913, 'prev_best_val': 5.227114142108233, 'candidate_val': 6.623234935013001, 'improved': False}]"
4000,2001,4000,1000,0.05537809431552887,0.05537809431552887,5.724456404437721,5.724456404437721,5.529330961573987,"(2, 2, 2, 2)","(2, 2, 2, 2)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.5049698476130574, 0.393282977316241, 0.7879007025023473, 0.34020774293505246], 'ranks_before': (2, 2, 2, 2), 'ranks_target': (4, 4, 4, 4), 'ranks_after_expand': (4, 4, 4, 4), 'ranks_after_compress': (3, 4, 4, 4), 'expand_loss': 0.04161033779382706, 'compress_loss': 0.03229428455233574, 'prev_best_val': 5.724456404437721, 'candidate_val': 7.063625214651391, 'improved': False}]"
