train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.054927948862314224,0.054927948862314224,5.945624953995449,5.945624953995449,6.432602434668203,"(2, 2, 2, 2)","(2, 2, 2, 2)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.44658903176198306, 0.5575225863858209, 0.5280624572762095, 0.36861585193159657], 'ranks_before': (2, 2, 2, 2), 'ranks_target': (4, 4, 4, 4), 'ranks_after_expand': (4, 4, 4, 4), 'ranks_after_compress': (4, 4, 4, 4), 'expand_loss': 0.037980783730745316, 'compress_loss': 0.026545275002717972, 'prev_best_val': 5.945624953995449, 'candidate_val': 6.04124134137951, 'improved': False}]"
2000,1001,2000,1000,0.05541345477104187,0.05541345477104187,5.117280775792984,5.117280775792984,6.042298835402869,"(2, 2, 2, 2)","(2, 2, 2, 2)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.5445692600181905, 0.4015100569910449, 0.33101797995801024, 0.1998864552324034], 'ranks_before': (2, 2, 2, 2), 'ranks_target': (4, 4, 4, 4), 'ranks_after_expand': (4, 4, 4, 4), 'ranks_after_compress': (4, 4, 4, 4), 'expand_loss': 0.02745170332491398, 'compress_loss': 0.026352832093834877, 'prev_best_val': 5.117280775792984, 'candidate_val': 6.006298109878928, 'improved': False}]"
3000,1501,3000,1000,0.054258763790130615,0.054258763790130615,5.193094016703034,5.193094016703034,5.718375639601717,"(2, 2, 2, 2)","(2, 2, 2, 2)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.5162985231576334, 0.5671558101667068, 0.6172204073262357, 0.5224381514422738], 'ranks_before': (2, 2, 2, 2), 'ranks_target': (4, 4, 4, 4), 'ranks_after_expand': (4, 4, 4, 4), 'ranks_after_compress': (4, 4, 4, 4), 'expand_loss': 0.037419144064188004, 'compress_loss': 0.026517953723669052, 'prev_best_val': 5.193094016703034, 'candidate_val': 5.511522243784031, 'improved': False}]"
