train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,1.5232331861625426e-05,0.05276295039498302,0.40211263731102476,0.13606611194348325,0.538178749254508,0.4677199396353608
2000,1001,2000,1000,1000,mse,0.00010291772923665121,0.055785732954617535,0.4185349674708262,0.11183122019609479,0.5303661876669209,0.47597247685881633
3000,1501,3000,1000,1000,mse,0.0002071573253488168,0.04859921458313264,0.4023990354320495,0.130086104936612,0.5324851403686617,0.46438274644869854
4000,2001,4000,1000,1000,mse,0.0003225149994250387,0.057006643929397006,0.4017870700587001,0.12832181583785096,0.530108885896551,0.4709481410276575
5000,2501,5000,1000,1000,mse,0.0004619372193701565,0.051094998242043894,0.39725784066964825,0.12992550773393216,0.5271833484035806,0.46766495993979745
