train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,0.0020140446722507477,0.10425702234985594,0.4306784261483104,0.089772022296221,0.5204504484445315,0.48003042892301756
2000,1001,2000,1000,1000,mse,0.005142039619386196,0.06308824727065626,0.4065415673003812,0.12603887398413363,0.5325804412845148,0.46835992777067026
3000,1501,3000,1000,1000,mse,0.0071678729727864265,0.05962380854336748,0.38885618641427994,0.15106064984880668,0.5399168362630867,0.4624153102790075
4000,2001,4000,1000,1000,mse,0.008576134219765663,0.03867014506250602,0.3460227434672238,0.20764581292995274,0.5536685563971765,0.453725310182432
5000,2501,5000,1000,1000,mse,0.009372495114803314,0.03067108981365149,0.3337708941501526,0.22099991302848895,0.5547708071786415,0.4394469628306251
6000,3001,6000,1000,1000,mse,0.009916158393025398,0.04185830380165902,0.3368442702748304,0.22533399803744844,0.5621782683122788,0.4436663175563539
