train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,3.986393494415097e-05,0.056054332785582486,0.4110108196630747,0.11826407316704035,0.5292748928301151,0.47466615861408934
2000,1001,2000,1000,1000,mse,8.224385237554088e-05,0.05199816922809544,0.4118064009198955,0.11957980021535113,0.5313862011352467,0.47276749676560836
3000,1501,3000,1000,1000,mse,0.00011441641254350543,0.0456241223656003,0.40966495674709663,0.1184724706479413,0.528137427395038,0.4666811719860609
4000,2001,4000,1000,1000,mse,0.00015099096344783902,0.054502367812678094,0.40359412751032064,0.13745056484748,0.5410446923578006,0.47002844952720346
5000,2501,5000,1000,1000,mse,0.0002081464626826346,0.04828279533598459,0.3987560328311014,0.13540163422494794,0.5341576670560494,0.4731268475168945
6000,3001,6000,1000,1000,mse,0.0002425176207907498,0.043931899061568226,0.3952864512756959,0.13654143253984877,0.5318278838155446,0.4662449028387333
