train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,2.025506728386972e-05,0.052181562443707225,0.38243004127136304,0.14986322150744252,0.5322932627788057,0.4655218806217326
2000,1001,2000,1000,1000,mse,5.2179908379912376e-05,0.05608106468427994,0.4063157798110925,0.12848012951109394,0.5347959093221863,0.46813628008583497
3000,1501,3000,1000,1000,mse,9.850973583525047e-05,0.051173962593788404,0.4045983584730718,0.12717248235425818,0.53177084082733,0.4616967390100273
4000,2001,4000,1000,1000,mse,0.00013961869990453124,0.05031699279931471,0.3914432476493809,0.14243614880943908,0.53387939645882,0.4676462318210738
5000,2501,5000,1000,1000,mse,0.00020909578597638756,0.04886511326909922,0.39869154044417676,0.13026879772886785,0.5289603381730447,0.468425271108047
6000,3001,6000,1000,1000,mse,0.0002946120803244412,0.044422927536091054,0.38016613092072943,0.16251754244420732,0.5426836733649367,0.45486118319201757
