train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,0.0015599350444972515,0.11891803156064042,0.42616065537744696,0.09374300248201846,0.5199036578594655,0.48053242753003805
2000,1001,2000,1000,1000,mse,0.003799727652221918,0.07707658765009656,0.4081995908214608,0.12562222066380235,0.5338218114852632,0.47291908788646586
3000,1501,3000,1000,1000,mse,0.005731954704970121,0.07114860213379601,0.3791839510226848,0.1597284198533407,0.5389123708760255,0.4520083829224801
4000,2001,4000,1000,1000,mse,0.006664179265499115,0.07381704087777964,0.3796814988765169,0.16608905420626274,0.5457705530827797,0.45965305941303486
5000,2501,5000,1000,1000,mse,0.0077902753837406635,0.04064433625517138,0.35481028119688635,0.19433965259204292,0.5491499337889293,0.45131275256438275
6000,3001,6000,1000,1000,mse,0.008662921376526356,0.03094332258364883,0.32487143348752356,0.2248269247304624,0.549698358217986,0.438265278805062
