train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,l1,0.04426755756139755,19.40526498901468,0.08670792851075065,0.4301070015798405,0.09320745784251735,0.5233144594223579,0.47837910398732536
375,189,50000,6646,250,l1,0.05567831173539162,18.381713464791677,0.07716548977023084,0.4077657893185745,0.1276699843114797,0.5354357736300542,0.46754789102874067
563,283,50000,6646,250,l1,0.06413156539201736,10.959037257467457,0.04907914578718384,0.3636841391806729,0.18599814253171482,0.5496822817123878,0.4550808355385098
845,424,50000,6646,250,l1,0.0723862573504448,10.028602983432343,0.04126247419494363,0.3434943495861737,0.21803524384493148,0.5615295934311051,0.44380843944365245
1268,635,50000,6646,250,l1,0.07724786549806595,7.855245840656689,0.030334124677688555,0.322158254093297,0.2501534895423902,0.5723117436356873,0.43343553214810493
1902,952,50000,6646,250,l1,0.08030983060598373,7.869354662813146,0.027225850700957392,0.295876669402402,0.28529600099850516,0.5811726704009073,0.41992194070778055
2853,1428,50000,6646,250,l1,0.08001665771007538,6.594395983765487,0.023093649122346443,0.28550348119855007,0.2989138961624456,0.5844173773609957,0.4208210310050449
4280,2141,50000,6646,250,l1,0.07985614240169525,6.261993019521248,0.020798445040957,0.2659058910220209,0.31888182887863015,0.584787719900651,0.4131521187331594
6420,3211,50000,6646,250,l1,0.0815572440624237,6.226724537338887,0.02137849022728599,0.261710609192655,0.327243861478299,0.5889544706709541,0.40998195727795994
9630,4816,50000,6646,250,l1,0.08310288935899734,6.07763922909313,0.0213564876913029,0.26864804607166926,0.3179418815240833,0.5865899275957526,0.4093357521825693
14445,7224,50000,6646,250,l1,0.08343740552663803,6.046143372001306,0.020225963741518065,0.26201542483776835,0.32721596554788346,0.5892313903856518,0.4094389607366024
21668,10835,50000,6646,250,l1,0.08353230357170105,6.0049149157965145,0.0202078296971628,0.262006507060193,0.32919608463269256,0.5912025916928856,0.4096937333520028
32502,16252,50000,6646,250,l1,0.08350777626037598,5.785073079335162,0.01791013841447059,0.2525537106113211,0.33346779283153083,0.586021503442852,0.4089788422664149
48753,24378,50000,6646,250,l1,0.08320922404527664,5.9673642883475235,0.020018303133416803,0.2654238503808447,0.32116711215376836,0.5865909625346131,0.4113473853902879
