train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
2000,1001,20000,6646,2000,l1,0.005816241726279259,8.724312043530128,0.037240022083871664,0.3521653440375036,0.19214083063818685,0.5443061746756904,0.4529329655358916
4000,2001,20000,6646,2000,l1,0.010514182969927788,6.111169812039566,0.023421117563055063,0.327475486494381,0.2260288813809248,0.5535043678753059,0.44069766030090235
6000,3001,20000,6646,2000,l1,0.01417100615799427,5.103925778438921,0.017205661546160236,0.3076658341272635,0.24533179098371397,0.5529976251109775,0.4311257199936957
8000,4001,20000,6646,2000,l1,0.01685824990272522,4.530110528035233,0.013725771557196923,0.284961972652501,0.27436745706022253,0.5593294297127235,0.4136762312624847
10000,5001,20000,6646,2000,l1,0.017500411719083786,3.5774320609011454,0.009040436935492831,0.26380292812955025,0.29532350309030503,0.5591264312198553,0.4002783038632784
12000,6001,20000,6646,2000,l1,0.016936510801315308,2.9120792318027213,0.0058221405240873976,0.2314609045246719,0.33305971508160215,0.5645206196062741,0.3702953312160287
14000,7001,20000,6646,2000,l1,0.015851009637117386,2.5264137687331245,0.004572263503122302,0.21437690930131278,0.34710456467850886,0.5614814739798216,0.3554331321964402
16000,8001,20000,6646,2000,l1,0.017057854682207108,2.3076802190144523,0.004226005854589387,0.201765043387932,0.3587621651140685,0.5605272085020004,0.34465472759757915
18000,9001,20000,6646,2000,l1,0.016554538160562515,2.0588291151173026,0.003170306712834064,0.1954634811992792,0.3677300882667221,0.5631935694660013,0.3358950092888751
20000,10001,20000,6646,2000,l1,0.01985735446214676,2.2884894589079994,0.003739276141563846,0.19787612774240976,0.3672704219681689,0.5651465497105785,0.3382915946866794
