train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
500,251,2500,2500,500,mse,0.0008725329535081983,29.159287291612536,0.12002530896485648,0.44738756454388423,0.06695883307970531,0.5143463976235896,0.48576939646485534
1000,501,2500,2500,500,mse,0.004083449952304363,19.13853115561748,0.08063608250616944,0.42074769712128907,0.10354757342815245,0.5242952705494416,0.47756198230907265
1500,751,2500,2500,500,mse,0.006217950955033302,15.64103685338228,0.0650843722527705,0.3979565223755779,0.13646623129740099,0.5344227536729789,0.4657738132425473
2000,1001,2500,2500,500,mse,0.00795069895684719,10.481148878094587,0.04503289494856568,0.37397484909076095,0.17318352033372308,0.547158369424484,0.46024894444909314
2500,1251,2500,2500,500,mse,0.008937370963394642,7.452475248281543,0.0317635991044396,0.36059755243303954,0.1920186975797652,0.5526162500128047,0.4514890175464424
