train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,mse,7.741509034531191e-05,38.60484238624754,0.15945443882834143,0.4488977164457852,0.0648505820423089,0.5137482984880942,0.4856784212324475
375,189,50000,6646,250,mse,0.0004631227639038116,28.379250065914356,0.12768381143420826,0.4422484089129284,0.07203618307589557,0.5142845919888239,0.4850192249312313
563,283,50000,6646,250,mse,0.0015500318259000778,19.431572317360352,0.09036577213349241,0.42309567653575214,0.09940257404743576,0.5224982505831879,0.4784156473452013
845,424,50000,6646,250,mse,0.0029535640496760607,10.265333317263073,0.05310537224074637,0.3772285624296028,0.16503967137956377,0.5422682338091666,0.46168821693667916
1268,635,50000,6646,250,mse,0.004726144950836897,11.022806927233185,0.05092345053075778,0.3776640946901146,0.16554629981372046,0.543210394503835,0.4615252139609261
1902,952,50000,6646,250,mse,0.006158100441098213,8.863916821369559,0.03931994067187676,0.3380979413275879,0.2155504757051415,0.5536484170327294,0.44418506896220405
2853,1428,50000,6646,250,mse,0.008053108118474483,6.968370593482167,0.028197567972343764,0.3161974088873207,0.24708640984865024,0.5632838187359709,0.4377653344073692
4280,2141,50000,6646,250,mse,0.008779855445027351,5.985771931341197,0.021767805695559413,0.28494456702089416,0.28587698136555634,0.5708215483864505,0.42573786379702167
6420,3211,50000,6646,250,mse,0.009695637971162796,6.198588811922523,0.02056894643959087,0.27798996855890984,0.2969608157017108,0.5749507842606206,0.4203770023749846
9630,4816,50000,6646,250,mse,0.010517550632357597,5.502869993210504,0.0166882519372105,0.2597750445007946,0.3198869234379032,0.5796619679386978,0.4121176215294659
14445,7224,50000,6646,250,mse,0.010958535596728325,5.1607870201043395,0.015092767415408706,0.25970491059490647,0.31875117872084935,0.5784560893157559,0.41091341688085603
21668,10835,50000,6646,250,mse,0.010389796458184719,4.368348290089337,0.012506740713046255,0.2501485629400464,0.3276558149684333,0.5778043779084797,0.4038058338831405
32502,16252,50000,6646,250,mse,0.009760714136064053,3.9912389159354045,0.01095277444610401,0.24363118086972016,0.3353663632977489,0.578997544167469,0.4022919234605677
48753,24378,50000,6646,250,mse,0.009967392310500145,4.06930005958031,0.011037662891222743,0.2413225920278927,0.33804942293717416,0.579372014965067,0.40477868130593603
