train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,0.007380404509603977,0.07440808260126816,0.4082371625582422,0.12347404474534636,0.5317112073035887,0.47284946309354586
2000,1001,2000,1000,1000,mse,0.010950165800750256,0.03418636650180504,0.35530840145220777,0.19974224592570913,0.5550506473779169,0.45157220621305233
3000,1501,3000,1000,1000,mse,0.01213887333869934,0.026914370722427326,0.34596267887466403,0.2256872329202971,0.5716499117949612,0.4393164304814942
4000,2001,4000,1000,1000,mse,0.012766453437507153,0.024995895190331237,0.30847443019626813,0.2594255731584491,0.5679000033547172,0.43492211941568976
5000,2501,5000,1000,1000,mse,0.013508647680282593,0.02276254533692197,0.2917868102639958,0.29398709779372995,0.5857739080577258,0.42262309945367543
6000,3001,6000,1000,1000,mse,0.014137937687337399,0.022558418205144915,0.2686658119200216,0.3129306473020488,0.5815964592220705,0.4184826721206257
7000,3501,7000,1000,1000,mse,0.014463450759649277,0.025820706713453965,0.2566273205588769,0.3204092871050592,0.5770366076639362,0.42163218329404517
8000,4001,8000,1000,1000,mse,0.014568590559065342,0.02293873229635644,0.2681203807657365,0.29873183910796075,0.5668522198736973,0.42198365891028433
9000,4501,9000,1000,1000,mse,0.014692626893520355,0.02264980814289986,0.27317711173347653,0.3039833854026406,0.577160497136117,0.4240753257184243
10000,5001,10000,1000,1000,mse,0.014890085905790329,0.022218592057231406,0.2781687110042013,0.29895762714855173,0.577126338152753,0.4148858965373455
11000,5501,11000,1000,1000,mse,0.014662373811006546,0.01932365683469269,0.2662250267808672,0.315629390481658,0.5818544172625251,0.4178447431571566
12000,6001,12000,1000,1000,mse,0.014687778428196907,0.0203758082721846,0.24712676779600018,0.323740095080465,0.5708668628764652,0.4173035463892835
13000,6501,13000,1000,1000,mse,0.015121531672775745,0.019419685839278285,0.2559486260254867,0.32515105456139964,0.5810996805868863,0.41845865027367385
14000,7001,14000,1000,1000,mse,0.01453403290361166,0.01996371574818336,0.2735580988306382,0.3044372057204963,0.5779953045511345,0.4204243529097799
15000,7501,15000,1000,1000,mse,0.014672327786684036,0.0194268806978766,0.2625133914378472,0.3089785400777058,0.5714919315155531,0.424752826500742
16000,8001,16000,1000,1000,mse,0.01445151399821043,0.01633768761330692,0.2515103203525847,0.3242653594877558,0.5757756798403404,0.41797743677138033
17000,8501,17000,1000,1000,mse,0.014309771358966827,0.015192449506873809,0.24597012129358234,0.35376694765215505,0.5997370689457375,0.4039706034914704
18000,9001,18000,1000,1000,mse,0.01415359228849411,0.019151351524861675,0.25069105038116407,0.33051015227841546,0.5812012026595794,0.4220508215900943
19000,9501,19000,1000,1000,mse,0.014208761975169182,0.01832627471331143,0.2582489496257704,0.3235757672733486,0.581824716899119,0.4129917515054668
20000,10001,20000,1000,1000,mse,0.014108672738075256,0.02776992375762915,0.2697724728483035,0.32044426146175736,0.5902167343100609,0.42283883996683735
