train_size,val_start,val_size,final_train_mse,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
500,500,500,0.0014709625393152237,0.030378426512123156,0.4287508144916052,0.09928217897380781,0.528032993465413,0.5899916160691566
1000,1000,500,0.00219998718239367,0.03011955379017551,0.3450963156960463,0.11347563953719549,0.45857195523324173,0.5475983003037638
1500,1500,500,0.0022041366901248693,0.02425833028767112,0.3958894051086028,0.1627865887498661,0.5586759938584689,0.5669937352631151
2000,2000,500,0.0030951311346143484,0.02172438786064274,0.3939976130727338,0.1412647867375754,0.5352623998103091,0.5365604788290971
2500,2500,500,0.0030776760540902615,0.020124622098479948,0.3257158254011448,0.2021833313240892,0.527899156725234,0.5288052042801196
3000,3000,500,0.0036803323309868574,0.014505220702024374,0.2819575544852432,0.21143868545846475,0.49339623994370796,0.4968995403979663
3500,3500,500,0.0037326840683817863,0.01201670442020821,0.3243943361808752,0.17105620971572894,0.4954505458966041,0.5617977344683668
4000,4000,500,0.0039343638345599174,0.009931785910947209,0.3471503356793036,0.19672938439874973,0.5438797200780533,0.6029612518922016
4500,4500,500,0.004128653090447187,0.01097812523120472,0.32379201781113665,0.17791543259128015,0.5017074504024168,0.5839340829925486
5000,5000,500,0.004037570208311081,0.010270175465135343,0.3193824742720433,0.1886838050193221,0.5080662792913654,0.5543820944923923
5500,5500,500,0.004396321717649698,0.005681822078480346,0.25083478286309374,0.12541662850142563,0.3762514113645194,0.6186069801003078
6000,6000,500,0.004302733112126589,0.007592947752105759,0.26460116772309755,0.18308467459233124,0.4476858423154288,0.553024641258389
6500,6500,500,0.004261824768036604,0.00930146976351948,0.26309246808095116,0.19852546283297517,0.46161793091392633,0.5554309494545512
7000,7000,500,0.00446203351020813,0.008944178093677643,0.25649918788978976,0.19291455849992978,0.4494137463897195,0.5124889544458455
7500,7500,500,0.00455119926482439,0.006833156306716734,0.22342816049094064,0.18907668931519236,0.412504849806133,0.5467232000475671
8000,8000,500,0.004686898551881313,0.007814653327950893,0.27069915373329995,0.2046616124770981,0.4753607662103981,0.5893839187034334
8500,8500,500,0.004707629326730967,0.007542070246941295,0.215018796563166,0.1997320005250792,0.41475079708824525,0.5658628533607175
9000,9000,500,0.004683393519371748,0.008244554722547278,0.3032283056385902,0.15063012243922264,0.4538584280778128,0.645838320768181
9500,9500,500,0.004721741192042828,0.007568085598471008,0.23368968629276268,0.25174764524625626,0.4854373315390189,0.5120911369015789
10000,10000,500,0.004694350995123386,0.007004113348830338,0.31686129575501887,0.1998060299849297,0.5166673257399487,0.6433273855138617
10500,10500,500,0.004639402497559786,0.004881656549781824,0.22110553203529235,0.10573884250677713,0.3268443745420695,0.7407726646627147
11000,11000,500,0.0047626979649066925,0.0069560452729101885,0.24322492115237884,0.22623970789012637,0.4694646290425052,0.554588577990949
11500,11500,500,0.004676775075495243,0.005774547838167421,0.1952213597667973,0.2277224448298926,0.4229438045966899,0.579657651738088
12000,12000,500,0.004762240685522556,0.006408369571806763,0.27577375880028815,0.22309289149417455,0.4988666502944627,0.6189195484751271
12500,12500,500,0.004844051320105791,0.0071798286362389704,0.22111763831404155,0.2130796747242444,0.4341973130382859,0.5548077998173756
13000,13000,500,0.004669867921620607,0.005356846180019201,0.22272289180601865,0.15530775403617914,0.3780306458421978,0.6293242860603705
13500,13500,500,0.004896475467830896,0.009738140211529344,0.24103083451353635,0.20553873363708947,0.4465695681506259,0.5475150103639728
14000,14000,500,0.0049002505838871,0.009464766892077387,0.24599501598215817,0.1817258890121227,0.42772090499428095,0.6318953720389652
14500,14500,500,0.004969662055373192,0.006333865056694044,0.19508633663683303,0.14383429862984923,0.3389206352666822,0.6439602967992233
15000,15000,500,0.0049791536293923855,0.004665673358474673,0.1933742138517161,0.09567467763251583,0.28904889148423196,0.6590892559700006
15500,15500,500,0.004930940456688404,0.007704391347353424,0.27443969740724217,0.19222981593618982,0.466669513343432,0.6434286714344505
16000,16000,500,0.004866435192525387,0.004090995266483651,0.26896878156915566,0.11530262291980171,0.3842714044889574,0.6776720918251123
16500,16500,500,0.004853858146816492,0.005330626576024525,0.34996572594309877,0.21963941165218007,0.5696051375952789,0.6668394539630734
17000,17000,500,0.004830813966691494,0.008090801667206205,0.26643898345351524,0.24348629328285334,0.5099252767363686,0.5897732193593165
17500,17500,500,0.005023517645895481,0.006498829957464838,0.2446638197030538,0.19650367554606157,0.4411674952491154,0.6453553003261866
18000,18000,500,0.004941274411976337,0.00719589391874812,0.20742952776320958,0.22656181455239227,0.4339913423156019,0.5506721933056273
18500,18500,500,0.004907485097646713,0.005288098914034416,0.195915013524404,0.1402188124657846,0.3361338259901886,0.666902080211614
19000,19000,500,0.0051085506565868855,0.007619278151960652,0.203564880843117,0.2651369230193271,0.4687018038624441,0.524819487850162
19500,19500,500,0.004994869697839022,0.005730849481384898,0.15282680818676167,0.15547636791127126,0.3083031760980329,0.5982273639318485
