train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
5000,2501,50000,5000,5000,mse,3.0353874535649084e-05,4.533046995799367,0.017353014652038257,0.30154964985952737,0.2581676366640984,0.5597172865236258,0.43081943545216944
10000,5001,50000,5000,5000,mse,0.00013494283484760672,4.057664437857465,0.013991100320156217,0.30081248833001245,0.2571248257840267,0.5579373141140391,0.42551071179028294
15000,7501,50000,5000,5000,mse,0.0003005845646839589,3.9005725853639,0.011954763710548436,0.2946761709896029,0.2633114357834385,0.5579876067730415,0.42241011131369716
20000,10001,50000,5000,5000,mse,0.0004348834918346256,3.781472121161128,0.01062718326765793,0.2865653107090478,0.2703998475460527,0.5569651582551005,0.41404578082035826
25000,12501,50000,5000,5000,mse,0.0005578803829848766,3.571474563531225,0.0098549116760424,0.2814587983962411,0.27825742661328634,0.5597162250095274,0.40753744629454597
30000,15001,50000,5000,5000,mse,0.0006884120521135628,3.3113756276483466,0.008865183937720967,0.28142491052028534,0.27877190154867415,0.5601968120689594,0.40614871880196035
35000,17501,50000,5000,5000,mse,0.0007678345427848399,3.116563053598216,0.007919167140264976,0.2702860797645688,0.2892878680218118,0.5595739477863806,0.39913777290458624
40000,20001,50000,5000,5000,mse,0.0008096726960502565,2.9554036434942073,0.0074975919602110795,0.26109367455799165,0.2989500752519726,0.5600437498099643,0.39310955598714487
