train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
5000,2501,50000,5000,5000,mse,2.571837853793113e-07,3.820994240595665,0.013150013032694089,0.26010482425747916,0.30653267036377213,0.5666374946212513,0.4153469612384062
10000,5001,50000,5000,5000,mse,3.81211702915607e-06,3.5027690773285105,0.010523170117475977,0.25519498589684997,0.31449083542259526,0.5696858213194453,0.4073572269022505
15000,7501,50000,5000,5000,mse,1.5540401363978162e-05,3.382655493552483,0.010055967458190273,0.2565961550769384,0.30725404230685416,0.5638501973837925,0.40910337834700516
20000,10001,50000,5000,5000,mse,3.316755100968294e-05,3.175778153693298,0.008953704493524598,0.2667794095724889,0.29503739550886826,0.5618168050813572,0.40738067259765176
25000,12501,50000,5000,5000,mse,6.362934072967619e-05,2.9892130129475447,0.008249772238195178,0.2578114940665205,0.3087542885894193,0.5665657826559398,0.4027836853591965
30000,15001,50000,5000,5000,mse,0.0001039807393681258,2.9455002780033204,0.007746860817792687,0.2594852162758456,0.3009060499382946,0.5603912662141403,0.4009823103028177
35000,17501,50000,5000,5000,mse,0.00013610703172162175,2.7415651122516733,0.007101624701995708,0.2665377482343787,0.29843702104135944,0.5649747692757382,0.3967711632335884
