checkpoint_steps,train_start,train_stop,unique_train_samples,train_loss,val_window_start,val_window_length,val_logpi_l1,master_window_start,master_window_length,master_logpi_l1,ranks
1000,0,1000,501,0.07265975326299667,1000,2000,5.988206547435615,50000,6646,6.985792186444825,"(2, 2, 2, 2)"
2000,0,2000,1001,0.05545157566666603,2000,2000,6.024540012810038,50000,6646,6.992871253780455,"(2, 2, 2, 2)"
3000,0,3000,1501,0.07262327522039413,3000,2000,6.192251335134592,50000,6646,6.360801172186454,"(2, 2, 2, 2)"
4000,0,4000,2001,0.05538961663842201,4000,2000,5.845722782805132,50000,6646,6.271312832057056,"(2, 2, 2, 2)"
