train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.054775532335042953,0.054775532335042953,6.063259719210394,6.063259719210394,6.8277627975639605,"(2, 2)","(2, 2)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.6496245639618335, 'ranks_before': (2, 2), 'ranks_after_expand': (4, 2), 'ranks_after_compress': (2, 2), 'expand_loss': 0.05452350899577141, 'compress_loss': 0.054395902901887894, 'prev_best_val': 6.063259719210394, 'candidate_val': 6.08674847004384, 'improved': False}]"
2000,1001,2000,1000,0.054458022117614746,0.03650129213929176,5.9619753180794675,5.5806142861159955,6.44719718997079,"(2, 2)","(4, 3)",3,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.8580891373693138, 'ranks_before': (2, 2), 'ranks_after_expand': (2, 4), 'ranks_after_compress': (2, 3), 'expand_loss': 0.05434432625770569, 'compress_loss': 0.05430040881037712, 'prev_best_val': 5.9619753180794675, 'candidate_val': 5.920347502294827, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.8039234116526554, 'ranks_before': (2, 3), 'ranks_after_expand': (4, 3), 'ranks_after_compress': (4, 3), 'expand_loss': 0.03652171790599823, 'compress_loss': 0.03650129213929176, 'prev_best_val': 5.920347502294827, 'candidate_val': 5.5806142861159955, 'improved': True}, {'trial': 3, 'layer': 1, 'sv_ratio': 0.480736879327103, 'ranks_before': (4, 3), 'ranks_after_expand': (4, 6), 'ranks_after_compress': (4, 6), 'expand_loss': 0.025589358061552048, 'compress_loss': 0.02506336197257042, 'prev_best_val': 5.5806142861159955, 'candidate_val': 5.960356568483928, 'improved': False}]"
3000,1501,3000,1000,0.03709865361452103,0.0006057065911591053,5.316856469301576,3.6137228082897885,4.840263697911593,"(4, 3)","(14, 19)",33,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.45708660945495844, 'ranks_before': (4, 3), 'ranks_after_expand': (8, 3), 'ranks_after_compress': (5, 3), 'expand_loss': 0.0369478203356266, 'compress_loss': 0.03688015043735504, 'prev_best_val': 5.316856469301576, 'candidate_val': 5.149363679861854, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.4281264354447347, 'ranks_before': (5, 3), 'ranks_after_expand': (5, 6), 'ranks_after_compress': (5, 6), 'expand_loss': 0.016482681035995483, 'compress_loss': 0.01622791774570942, 'prev_best_val': 5.149363679861854, 'candidate_val': 5.028889094951236, 'improved': True}, {'trial': 3, 'layer': 0, 'sv_ratio': 0.5877258634454553, 'ranks_before': (5, 6), 'ranks_after_expand': (10, 6), 'ranks_after_compress': (8, 6), 'expand_loss': 0.01143422070890665, 'compress_loss': 0.01140062976628542, 'prev_best_val': 5.028889094951236, 'candidate_val': 4.87148551955334, 'improved': True}, {'trial': 4, 'layer': 1, 'sv_ratio': 0.3022120112838677, 'ranks_before': (8, 6), 'ranks_after_expand': (8, 12), 'ranks_after_compress': (8, 12), 'expand_loss': 0.004670059308409691, 'compress_loss': 0.004270449280738831, 'prev_best_val': 4.87148551955334, 'candidate_val': 4.7867412617265765, 'improved': True}, {'trial': 5, 'layer': 0, 'sv_ratio': 0.34717365635582315, 'ranks_before': (8, 12), 'ranks_after_expand': (16, 12), 'ranks_after_compress': (14, 12), 'expand_loss': 0.0016560775693506002, 'compress_loss': 0.001420454354956746, 'prev_best_val': 4.7867412617265765, 'candidate_val': 4.690185973408139, 'improved': True}, {'trial': 6, 'layer': 1, 'sv_ratio': 0.2598759502470119, 'ranks_before': (14, 12), 'ranks_after_expand': (14, 24), 'ranks_after_compress': (14, 20), 'expand_loss': 0.0012667697155848145, 'compress_loss': 0.0011995774693787098, 'prev_best_val': 4.690185973408139, 'candidate_val': 4.590564927608874, 'improved': True}, {'trial': 7, 'layer': 0, 'sv_ratio': 0.08085573777398349, 'ranks_before': (14, 20), 'ranks_after_expand': (28, 20), 'ranks_after_compress': (14, 19), 'expand_loss': 0.0009599641780368984, 'compress_loss': 0.001055217464454472, 'prev_best_val': 4.590564927608874, 'candidate_val': 4.434795174154027, 'improved': True}, {'trial': 8, 'layer': 0, 'sv_ratio': 0.097911782411769, 'ranks_before': (14, 19), 'ranks_after_expand': (28, 19), 'ranks_after_compress': (16, 19), 'expand_loss': 0.000813692866358906, 'compress_loss': 0.0008923145360313356, 'prev_best_val': 4.434795174154027, 'candidate_val': 4.3051206774561575, 'improved': True}, {'trial': 9, 'layer': 1, 'sv_ratio': 0.060417901810442196, 'ranks_before': (16, 19), 'ranks_after_expand': (16, 38), 'ranks_after_compress': (14, 22), 'expand_loss': 0.0008404734544456005, 'compress_loss': 0.0009139039902947843, 'prev_best_val': 4.3051206774561575, 'candidate_val': 4.23967534714056, 'improved': True}, {'trial': 10, 'layer': 0, 'sv_ratio': 0.11868832078992957, 'ranks_before': (14, 22), 'ranks_after_expand': (28, 22), 'ranks_after_compress': (16, 21), 'expand_loss': 0.0006960411556065083, 'compress_loss': 0.0007599726086482406, 'prev_best_val': 4.23967534714056, 'candidate_val': 4.158467518376763, 'improved': True}, {'trial': 11, 'layer': 1, 'sv_ratio': 0.047329079705925266, 'ranks_before': (16, 21), 'ranks_after_expand': (16, 42), 'ranks_after_compress': (14, 24), 'expand_loss': 0.0007345571648329496, 'compress_loss': 0.0008357825572602451, 'prev_best_val': 4.158467518376763, 'candidate_val': 4.117399350057021, 'improved': True}, {'trial': 12, 'layer': 0, 'sv_ratio': 0.11358190591538336, 'ranks_before': (14, 24), 'ranks_after_expand': (28, 24), 'ranks_after_compress': (16, 23), 'expand_loss': 0.0005986749310977757, 'compress_loss': 0.0006768441526219249, 'prev_best_val': 4.117399350057021, 'candidate_val': 4.059789081379681, 'improved': True}, {'trial': 13, 'layer': 0, 'sv_ratio': 0.032762738995135994, 'ranks_before': (16, 23), 'ranks_after_expand': (32, 23), 'ranks_after_compress': (15, 22), 'expand_loss': 0.0005705050425603986, 'compress_loss': 0.0007099143113009632, 'prev_best_val': 4.059789081379681, 'candidate_val': 4.046722274042674, 'improved': True}, {'trial': 14, 'layer': 0, 'sv_ratio': 0.04079468938133559, 'ranks_before': (15, 22), 'ranks_after_expand': (30, 22), 'ranks_after_compress': (15, 22), 'expand_loss': 0.0005400722729973495, 'compress_loss': 0.0006994431605562568, 'prev_best_val': 4.046722274042674, 'candidate_val': 4.0149837776782356, 'improved': True}, {'trial': 15, 'layer': 0, 'sv_ratio': 0.03434318498139558, 'ranks_before': (15, 22), 'ranks_after_expand': (30, 22), 'ranks_after_compress': (15, 22), 'expand_loss': 0.0005014820490032434, 'compress_loss': 0.0006725246203131974, 'prev_best_val': 4.0149837776782356, 'candidate_val': 3.9670653680736856, 'improved': True}, {'trial': 16, 'layer': 0, 'sv_ratio': 0.03816413814726754, 'ranks_before': (15, 22), 'ranks_after_expand': (30, 22), 'ranks_after_compress': (16, 22), 'expand_loss': 0.0004948180285282433, 'compress_loss': 0.0006051092641428113, 'prev_best_val': 3.9670653680736856, 'candidate_val': 3.9158450082288834, 'improved': True}, {'trial': 17, 'layer': 1, 'sv_ratio': 0.04084523440920891, 'ranks_before': (16, 22), 'ranks_after_expand': (16, 44), 'ranks_after_compress': (14, 22), 'expand_loss': 0.0005897099617868662, 'compress_loss': 0.0007685297750867903, 'prev_best_val': 3.9158450082288834, 'candidate_val': 3.878317953026294, 'improved': True}, {'trial': 18, 'layer': 0, 'sv_ratio': 0.13921030155555233, 'ranks_before': (14, 22), 'ranks_after_expand': (28, 22), 'ranks_after_compress': (16, 22), 'expand_loss': 0.00048068599426187575, 'compress_loss': 0.0005769136478193104, 'prev_best_val': 3.878317953026294, 'candidate_val': 3.8572098521328795, 'improved': True}, {'trial': 19, 'layer': 1, 'sv_ratio': 0.04399114685386462, 'ranks_before': (16, 22), 'ranks_after_expand': (16, 44), 'ranks_after_compress': (14, 23), 'expand_loss': 0.0005610716179944575, 'compress_loss': 0.0007379190064966679, 'prev_best_val': 3.8572098521328795, 'candidate_val': 3.8440551205955096, 'improved': True}, {'trial': 20, 'layer': 0, 'sv_ratio': 0.15515323760305766, 'ranks_before': (14, 23), 'ranks_after_expand': (28, 23), 'ranks_after_compress': (15, 23), 'expand_loss': 0.0004520427028182894, 'compress_loss': 0.0006177053437568247, 'prev_best_val': 3.8440551205955096, 'candidate_val': 3.8277478190396295, 'improved': True}, {'trial': 21, 'layer': 0, 'sv_ratio': 0.03854334411651537, 'ranks_before': (15, 23), 'ranks_after_expand': (30, 23), 'ranks_after_compress': (15, 22), 'expand_loss': 0.00043203134555369616, 'compress_loss': 0.0006106551154516637, 'prev_best_val': 3.8277478190396295, 'candidate_val': 3.779685435644197, 'improved': True}, {'trial': 22, 'layer': 0, 'sv_ratio': 0.038611777632319176, 'ranks_before': (15, 22), 'ranks_after_expand': (30, 22), 'ranks_after_compress': (15, 22), 'expand_loss': 0.00042011780897155404, 'compress_loss': 0.0006239631329663098, 'prev_best_val': 3.779685435644197, 'candidate_val': 3.751049171451091, 'improved': True}, {'trial': 23, 'layer': 0, 'sv_ratio': 0.032246344572029156, 'ranks_before': (15, 22), 'ranks_after_expand': (30, 22), 'ranks_after_compress': (15, 21), 'expand_loss': 0.0004337780992500484, 'compress_loss': 0.0006193526787683368, 'prev_best_val': 3.751049171451091, 'candidate_val': 3.7407208464281605, 'improved': True}, {'trial': 24, 'layer': 1, 'sv_ratio': 0.03918411639223931, 'ranks_before': (15, 21), 'ranks_after_expand': (15, 42), 'ranks_after_compress': (14, 22), 'expand_loss': 0.0005983877344988286, 'compress_loss': 0.0006861110450699925, 'prev_best_val': 3.7407208464281605, 'candidate_val': 3.720116968183995, 'improved': True}, {'trial': 25, 'layer': 0, 'sv_ratio': 0.13911329322020402, 'ranks_before': (14, 22), 'ranks_after_expand': (28, 22), 'ranks_after_compress': (15, 21), 'expand_loss': 0.0004106962587684393, 'compress_loss': 0.0005808211863040924, 'prev_best_val': 3.720116968183995, 'candidate_val': 3.693669214867065, 'improved': True}, {'trial': 26, 'layer': 0, 'sv_ratio': 0.027716555962677695, 'ranks_before': (15, 21), 'ranks_after_expand': (30, 21), 'ranks_after_compress': (15, 20), 'expand_loss': 0.0003947516670450568, 'compress_loss': 0.0005672273109667003, 'prev_best_val': 3.693669214867065, 'candidate_val': 3.6804313501606485, 'improved': True}, {'trial': 27, 'layer': 0, 'sv_ratio': 0.030303022349298117, 'ranks_before': (15, 20), 'ranks_after_expand': (30, 20), 'ranks_after_compress': (14, 20), 'expand_loss': 0.0003945124917663634, 'compress_loss': 0.0006344565190374851, 'prev_best_val': 3.6804313501606485, 'candidate_val': 3.6632679587191728, 'improved': True}, {'trial': 28, 'layer': 0, 'sv_ratio': 0.13579973901774445, 'ranks_before': (14, 20), 'ranks_after_expand': (28, 20), 'ranks_after_compress': (15, 20), 'expand_loss': 0.0003932097170036286, 'compress_loss': 0.0005542584112845361, 'prev_best_val': 3.6632679587191728, 'candidate_val': 3.643725487167224, 'improved': True}, {'trial': 29, 'layer': 1, 'sv_ratio': 0.026117537866301964, 'ranks_before': (15, 20), 'ranks_after_expand': (15, 40), 'ranks_after_compress': (14, 20), 'expand_loss': 0.0005390164442360401, 'compress_loss': 0.0006200560601428151, 'prev_best_val': 3.643725487167224, 'candidate_val': 3.632946428482767, 'improved': True}, {'trial': 30, 'layer': 0, 'sv_ratio': 0.13162902130072288, 'ranks_before': (14, 20), 'ranks_after_expand': (28, 20), 'ranks_after_compress': (14, 19), 'expand_loss': 0.00037290831096470356, 'compress_loss': 0.0006126539083197713, 'prev_best_val': 3.632946428482767, 'candidate_val': 3.625626388656206, 'improved': True}, {'trial': 31, 'layer': 0, 'sv_ratio': 0.12455288648902639, 'ranks_before': (14, 19), 'ranks_after_expand': (28, 19), 'ranks_after_compress': (14, 19), 'expand_loss': 0.00036604978959076107, 'compress_loss': 0.0006000609719194472, 'prev_best_val': 3.625626388656206, 'candidate_val': 3.622792452914557, 'improved': True}, {'trial': 32, 'layer': 0, 'sv_ratio': 0.12449983947806313, 'ranks_before': (14, 19), 'ranks_after_expand': (28, 19), 'ranks_after_compress': (14, 19), 'expand_loss': 0.0003675187472254038, 'compress_loss': 0.0006057065911591053, 'prev_best_val': 3.622792452914557, 'candidate_val': 3.6137228082897885, 'improved': True}, {'trial': 33, 'layer': 0, 'sv_ratio': 0.1088639611956453, 'ranks_before': (14, 19), 'ranks_after_expand': (28, 19), 'ranks_after_compress': (14, 19), 'expand_loss': 0.0003653008316177875, 'compress_loss': 0.0005936524830758572, 'prev_best_val': 3.6137228082897885, 'candidate_val': 3.624217941384689, 'improved': False}]"
4000,2001,4000,1000,0.0019542151130735874,0.0009691730374470353,4.8300694702199785,4.569743377782826,4.71049334349438,"(14, 19)","(16, 18)",8,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.2131039139958601, 'ranks_before': (14, 19), 'ranks_after_expand': (28, 19), 'ranks_after_compress': (17, 19), 'expand_loss': 0.000907289155293256, 'compress_loss': 0.001209462177939713, 'prev_best_val': 4.8300694702199785, 'candidate_val': 4.747861946006959, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.05502606223999071, 'ranks_before': (17, 19), 'ranks_after_expand': (34, 19), 'ranks_after_compress': (17, 19), 'expand_loss': 0.0007340913289226592, 'compress_loss': 0.001023593358695507, 'prev_best_val': 4.747861946006959, 'candidate_val': 4.694601694580638, 'improved': True}, {'trial': 3, 'layer': 0, 'sv_ratio': 0.06114713143154126, 'ranks_before': (17, 19), 'ranks_after_expand': (34, 19), 'ranks_after_compress': (17, 19), 'expand_loss': 0.0006341442931443453, 'compress_loss': 0.0009537123842164874, 'prev_best_val': 4.694601694580638, 'candidate_val': 4.654971882179277, 'improved': True}, {'trial': 4, 'layer': 0, 'sv_ratio': 0.05880128537887104, 'ranks_before': (17, 19), 'ranks_after_expand': (34, 19), 'ranks_after_compress': (17, 19), 'expand_loss': 0.0006030279328115284, 'compress_loss': 0.000900611630640924, 'prev_best_val': 4.654971882179277, 'candidate_val': 4.636409118145132, 'improved': True}, {'trial': 5, 'layer': 0, 'sv_ratio': 0.05658857845671345, 'ranks_before': (17, 19), 'ranks_after_expand': (34, 19), 'ranks_after_compress': (17, 19), 'expand_loss': 0.0005914887296967208, 'compress_loss': 0.00087924295803532, 'prev_best_val': 4.636409118145132, 'candidate_val': 4.602028981144208, 'improved': True}, {'trial': 6, 'layer': 0, 'sv_ratio': 0.050294517240795325, 'ranks_before': (17, 19), 'ranks_after_expand': (34, 19), 'ranks_after_compress': (17, 18), 'expand_loss': 0.0005250233807601035, 'compress_loss': 0.0008352755103260279, 'prev_best_val': 4.602028981144208, 'candidate_val': 4.582128486432762, 'improved': True}, {'trial': 7, 'layer': 0, 'sv_ratio': 0.04763906731439897, 'ranks_before': (17, 18), 'ranks_after_expand': (34, 18), 'ranks_after_compress': (16, 18), 'expand_loss': 0.0005130992503836751, 'compress_loss': 0.0009691730374470353, 'prev_best_val': 4.582128486432762, 'candidate_val': 4.569743377782826, 'improved': True}, {'trial': 8, 'layer': 0, 'sv_ratio': 0.0618688584404245, 'ranks_before': (16, 18), 'ranks_after_expand': (32, 18), 'ranks_after_compress': (16, 18), 'expand_loss': 0.0005049940664321184, 'compress_loss': 0.0009266508859582245, 'prev_best_val': 4.569743377782826, 'candidate_val': 4.570230878411707, 'improved': False}]"
5000,2501,5000,1000,0.0021343908738344908,0.0021343908738344908,4.333364012825712,4.333364012825712,4.601253967940809,"(16, 18)","(16, 18)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.10683023794626317, 'ranks_before': (16, 18), 'ranks_after_expand': (32, 18), 'ranks_after_compress': (16, 18), 'expand_loss': 0.0010839119786396623, 'compress_loss': 0.0017608669586479664, 'prev_best_val': 4.333364012825712, 'candidate_val': 4.335075421402012, 'improved': False}]"
6000,3001,6000,1000,0.0027402290143072605,0.0012144395150244236,3.8447158262065213,3.6626614394210844,4.445894324577574,"(16, 18)","(23, 18)",5,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.11914397461688957, 'ranks_before': (16, 18), 'ranks_after_expand': (32, 18), 'ranks_after_compress': (23, 17), 'expand_loss': 0.0011174870887771249, 'compress_loss': 0.0014759680489078164, 'prev_best_val': 3.8447158262065213, 'candidate_val': 3.766168575569562, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.05233556863595103, 'ranks_before': (23, 17), 'ranks_after_expand': (46, 17), 'ranks_after_compress': (23, 17), 'expand_loss': 0.0008033407502807677, 'compress_loss': 0.001363833318464458, 'prev_best_val': 3.766168575569562, 'candidate_val': 3.709990965295421, 'improved': True}, {'trial': 3, 'layer': 0, 'sv_ratio': 0.05616423081282086, 'ranks_before': (23, 17), 'ranks_after_expand': (46, 17), 'ranks_after_compress': (23, 16), 'expand_loss': 0.0008532260544598103, 'compress_loss': 0.0013523222878575325, 'prev_best_val': 3.709990965295421, 'candidate_val': 3.6836249318630876, 'improved': True}, {'trial': 4, 'layer': 1, 'sv_ratio': 0.10211214955664802, 'ranks_before': (23, 16), 'ranks_after_expand': (23, 32), 'ranks_after_compress': (23, 18), 'expand_loss': 0.001219782279804349, 'compress_loss': 0.0012144395150244236, 'prev_best_val': 3.6836249318630876, 'candidate_val': 3.6626614394210844, 'improved': True}, {'trial': 5, 'layer': 0, 'sv_ratio': 0.052997466266259875, 'ranks_before': (23, 18), 'ranks_after_expand': (46, 18), 'ranks_after_compress': (23, 18), 'expand_loss': 0.0007338123978115618, 'compress_loss': 0.0011785543756559491, 'prev_best_val': 3.6626614394210844, 'candidate_val': 3.671665474462299, 'improved': False}]"
7000,3501,7000,1000,0.002189179416745901,0.002189179416745901,6.50081277995334,6.50081277995334,4.5248953957582225,"(23, 18)","(23, 18)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.08658977611894926, 'ranks_before': (23, 18), 'ranks_after_expand': (46, 18), 'ranks_after_compress': (30, 17), 'expand_loss': 0.0009505651541985571, 'compress_loss': 0.001337145920842886, 'prev_best_val': 6.50081277995334, 'candidate_val': 6.547027673893279, 'improved': False}]"
