train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,l1,0.0006971326074562967,7.982331023668429,0.046527778332817155,0.336430813577915,0.22661950776827997,0.5630503213461949,0.44341203100849447
375,189,50000,6646,250,l1,0.0019128223648294806,8.787402640572989,0.04921021221007008,0.35787020171552913,0.19458764061584954,0.5524578423313787,0.45049006518356083
563,283,50000,6646,250,l1,0.003805850399658084,10.60514597884619,0.059845233036601844,0.3726197060990192,0.17332263147295,0.5459423375719692,0.4585064742439312
845,424,50000,6646,250,l1,0.00941948127001524,10.022413673416235,0.05341230637607276,0.37378498976072394,0.1672606259839583,0.5410456157446822,0.45679894081046435
1268,635,50000,6646,250,l1,0.013827616348862648,10.347645249764273,0.04985187377680814,0.36994618884213243,0.16990932739312986,0.5398555162352623,0.4577073989991044
1902,952,50000,6646,250,l1,0.025773510336875916,12.700818394667653,0.05290532391554916,0.36520229159901996,0.1837135073832741,0.5489157989822941,0.4547196359653573
2853,1428,50000,6646,250,l1,0.0338054858148098,9.094470576696668,0.03851603616169331,0.3376641447469342,0.21883909074657792,0.5565032354935121,0.4460166275005236
4280,2141,50000,6646,250,l1,0.042648013681173325,8.054832522711653,0.03168807071231654,0.3210593970136282,0.23837701081173768,0.5594364078253659,0.4395307115238542
6420,3211,50000,6646,250,l1,0.051029473543167114,5.340120989162889,0.018471180156245073,0.2781735151180856,0.2889778209810946,0.5671513360991801,0.41851930387479797
9630,4816,50000,6646,250,l1,0.06062396243214607,5.3637057332843945,0.016664000044519817,0.26604209878098106,0.30556850867610214,0.5716106074570831,0.41270589465766233
