train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,1001,1000,1000,1000,l1,0.06650150567293167,0.01691780124384454,0.17538253107262805,0.139905154381517,0.31528768545414504,0.4970358112017161
2000,2001,2000,1000,1000,l1,0.06856370717287064,0.013022943412451131,0.20085202927100665,0.17682119543184013,0.3776732247028468,0.528240064222387
3000,3001,3000,1000,1000,l1,0.07118833065032959,0.009329743746326325,0.1815640299551627,0.19740344722134018,0.3789674771765028,0.5404334334454819
4000,4001,4000,1000,1000,l1,0.07259294390678406,0.009501403037831816,0.1944748761567407,0.18933356357672487,0.38380843973346557,0.5654870561793568
5000,5001,5000,1000,1000,l1,0.07182895392179489,0.007234835833003275,0.18563049971232706,0.15529425041506895,0.34092475012739604,0.5818125295705076
6000,6001,6000,1000,1000,l1,0.07197637856006622,0.007919339535588656,0.19480163340412895,0.18991762982614535,0.3847192632302743,0.5684970495243051
7000,7001,7000,1000,1000,l1,0.07066188007593155,0.007166501774267129,0.1441815500297543,0.18983150141395994,0.33401305144371424,0.506898883755383
8000,8001,8000,1000,1000,l1,0.0706283450126648,0.006707229638274181,0.1826280973992416,0.20317363697716181,0.3858017343764034,0.5431117631469737
9000,9001,9000,1000,1000,l1,0.070767842233181,0.007390849967808943,0.18115098034220264,0.20095492880996352,0.3821059091521662,0.5427856701655553
10000,10001,10000,1000,1000,l1,0.06978538632392883,0.0054795417729094865,0.1286402755981373,0.1509569191346116,0.2795971947327489,0.5922742556617554
11000,11001,11000,1000,1000,l1,0.06934808194637299,0.00611422643561821,0.13522694059666412,0.2223396446118517,0.35756658520851586,0.4887229958985028
