iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps
1,2000,[8],[16],5.8523297324335735,7.353048839649237,1
2,4000,[16],[16],6.330200064937222,6.165433845527475,0
3,6000,[16],"[16, 16]",6.131984658410175,5.702081851646215,1
4,8000,"[16, 16]","[16, 16]",5.7232382581171635,5.583704587658006,0
