iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
1,2000,[8],[16],5.842897008626667,6.584399785544721,1,0
2,4000,[16],[32],5.011527186980436,5.3454786604118185,1,0
3,6000,[32],[64],5.485536916411897,4.802922992899287,1,0
4,8000,[64],[128],6.760175345427832,6.7732304451967575,1,0
5,10000,[128],[256],6.044042660812969,7.054154908227049,1,0
6,12000,[256],"[256, 256]",8.317712701388253,7.451736843838246,1,0
7,14000,"[256, 256]","[256, 512]",7.95775090916834,7.65084428481723,1,0
8,16000,"[256, 512]","[512, 512]",6.666443475201592,7.288905709382451,1,0
9,18000,"[512, 512]","[512, 1024]",7.73010640842171,7.378423449683002,1,0
10,20000,"[512, 1024]","[1024, 1024]",7.679194630374678,7.162142318648957,1,0
11,22000,"[1024, 1024]","[2048, 1024]",8.673941750224353,7.1007027430975995,1,0
12,24000,"[2048, 1024]","[2048, 2048]",6.393566896798481,7.180297993808159,1,0
13,26000,"[2048, 2048]","[4096, 2048]",7.725707948065123,7.101747647247991,1,0
