iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
1,2000,[8],[8],6.096101686596767,7.435866449598895,0,0.0846823900938034
2,4000,[8],[32],5.235362686054427,5.4446796202632,2,0.08948510140180588
3,6000,[32],[32],5.869954277613327,5.2645015009086364,0,0.06044767424464226
4,8000,[32],[32],6.935123895638419,7.115518474307729,0,0.09107577800750732
5,10000,[32],[64],3.865954706450152,4.458825655678028,1,0.06202171742916107
6,12000,[64],[128],4.307132174028812,4.184264138320809,1,0.049868326634168625
7,14000,[128],[128],4.001213661614661,3.9907486978253965,0,0.04887757450342178
8,16000,[128],[128],5.646392573017215,6.410048180893112,0,0.08379969000816345
9,18000,[128],[128],3.8023902547670865,3.514516164962619,0,0.04140789806842804
10,20000,[128],[128],5.164905256318722,5.01693310636982,0,0.0680849701166153
11,22000,[128],[128],4.24550444404467,3.3729057438235537,0,0.04146813601255417
12,24000,[128],[128],5.9963981930452634,6.451426516254889,0,0.08898330479860306
13,26000,[128],[128],3.8606885572695115,3.47329777452238,0,0.04420191049575806
14,28000,[128],[128],3.772795299387553,3.936518211552592,0,0.04512832313776016
15,30000,[128],[128],5.70914278514457,3.3298173202272787,0,0.042881205677986145
16,32000,[128],[128],5.6939395517176035,6.525650068036042,0,0.08978874981403351
17,34000,[128],[128],3.9028203194459303,3.074766811720158,0,0.03998259827494621
18,36000,[128],[128],3.1047125213702627,3.0418382930930115,0,0.039241936057806015
19,38000,[128],[128],3.480635632745933,2.9901286745192106,0,0.03921191021800041
20,40000,[128],[256],5.18766663842616,6.367970949959734,1,0.09045837819576263
21,42000,[256],[512],5.06277465928697,6.125976692486503,1,0.08707964420318604
22,44000,[512],[512],6.294880171902831,6.402015519040167,0,0.08073566108942032
23,46000,[512],[512],7.425686449321633,6.157915823082155,0,0.08190514892339706
24,48000,[512],[512],5.812918852758593,6.175053736603836,0,0.07888510823249817
