iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
1,500,[8],[8],11.696752075151712,10.550017462652514,0,0.06616631150245667
2,1000,[8],[8],7.1655267909491975,8.931903171076838,0,0.0752854123711586
3,1500,[8],"[8, 8]",6.339039784987629,8.043273362728868,1,0.08100320398807526
4,2000,"[8, 8]","[8, 8, 8, 8]",5.71722977076195,8.156359454446374,2,0.08073781430721283
5,2500,"[8, 8, 8, 8]","[8, 8, 8, 8]",6.680369737244005,7.648971640658622,0,0.07745890319347382
6,3000,"[8, 8, 8, 8]","[8, 8, 8, 8, 8]",8.960748957330049,7.706542484889647,1,0.0802483856678009
7,3500,"[8, 8, 8, 8, 8]","[8, 8, 8, 8, 8]",4.751121064370372,7.259270315474983,0,0.08223114162683487
8,4000,"[8, 8, 8, 8, 8]","[8, 8, 8, 8, 8]",7.88758844401089,7.215487736024344,0,0.08212451636791229
9,4500,"[8, 8, 8, 8, 8]","[8, 8, 8, 8, 8]",6.627548728219204,7.267857741744884,0,0.08323740214109421
10,5000,"[8, 8, 8, 8, 8]","[8, 8, 8, 8, 8]",6.000915957601708,7.196061944919795,0,0.08456007391214371
11,5500,"[8, 8, 8, 8, 8]","[16, 8, 8, 8, 8]",6.86152112903185,6.931868147498799,1,0.08533398807048798
12,6000,"[16, 8, 8, 8, 8]","[16, 8, 8, 8, 8]",5.460526242404823,6.825679062561042,0,0.08174103498458862
13,6500,"[16, 8, 8, 8, 8]","[16, 8, 8, 8, 8]",6.005991811851327,6.807283758160494,0,0.08197183907032013
14,7000,"[16, 8, 8, 8, 8]","[16, 8, 8, 8, 8]",8.907764524593473,6.805884133849765,0,0.08294740319252014
15,7500,"[16, 8, 8, 8, 8]","[16, 16, 8, 8, 8, 8, 8]",7.961113323320317,6.376793179365682,3,0.08364242315292358
16,8000,"[16, 16, 8, 8, 8, 8, 8]","[16, 16, 8, 8, 8, 8, 8, 8]",6.377884479645091,6.709332808974837,1,0.08108067512512207
17,8500,"[16, 16, 8, 8, 8, 8, 8, 8]","[16, 16, 8, 8, 8, 8, 8, 8, 8]",6.3474366707493814,6.4231921326400645,1,0.08240386843681335
18,9000,"[16, 16, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 8, 8, 8, 8, 8, 8, 8]",5.379534911640403,6.355764655873138,0,0.08297614753246307
19,9500,"[16, 16, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8]",6.057710169778497,6.191233610865626,3,0.08384588360786438
20,10000,"[16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]",5.3419493991935765,6.014700320170685,3,0.07911740243434906
21,10500,"[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]",5.0934607340080955,5.6220037812970105,0,0.08004433661699295
22,11000,"[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]",4.108815154546502,6.082487877214956,0,0.08400983363389969
23,11500,"[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]",5.545101567802921,6.015717291451072,0,0.08132915943861008
24,12000,"[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]",6.2973802283047835,5.805172775584089,0,0.08031070232391357
25,12500,"[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]",6.262724122615009,5.913955639730413,0,0.0811949074268341
26,13000,"[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]",5.544338992696337,5.6754122945679955,0,0.08115330338478088
27,13500,"[16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[16, 16, 16, 16, 16, 8, 8, 8, 8, 8, 8, 8, 8]",4.786712984081194,5.721038957057986,1,0.08043183386325836
