iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
1,2000,[8],"[8, 8]",6.580546762245415,7.971490074935459,1,0.07975393533706665
2,4000,"[8, 8]","[8, 8]",6.128537681790362,6.362064157045423,0,0.07734198123216629
3,6000,"[8, 8]","[16, 8]",6.390449129151274,5.917429819994871,1,0.0792841911315918
4,8000,"[16, 8]","[16, 8]",5.041980468927349,5.186478821754552,0,0.06948716938495636
5,10000,"[16, 8]","[16, 16]",4.410721971338622,5.048496473082978,1,0.07344666123390198
6,12000,"[16, 16]","[16, 16, 16]",4.504010349989554,4.429062222936039,1,0.06419987976551056
7,14000,"[16, 16, 16]","[16, 16, 16, 16]",4.385436041567927,4.222153385235226,1,0.06271438300609589
8,16000,"[16, 16, 16, 16]","[16, 16, 16, 16]",4.445964634519317,4.855068990233651,0,0.06810503453016281
9,18000,"[16, 16, 16, 16]","[16, 16, 16, 16]",4.94117625509869,4.453988792539453,0,0.0627773180603981
10,20000,"[16, 16, 16, 16]","[16, 16, 16, 16]",4.7201342108917554,4.289031857454129,0,0.06365503370761871
11,22000,"[16, 16, 16, 16]","[16, 16, 16, 16]",5.147362061341982,3.9768532134165318,0,0.06144062057137489
12,24000,"[16, 16, 16, 16]","[32, 16, 16, 16]",3.3160921367446834,3.7483279761877752,1,0.05747760459780693
