iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
68,34000,"[64, 32]","[64, 32]",6.2969038231354695,4.061488165428117,0,0.05358973518013954
69,34500,"[64, 32]","[64, 32]",4.600437000778818,4.093317355836611,0,0.053631242364645004
70,35000,"[64, 32]","[64, 32]",3.3993116757598973,4.06876087291878,0,0.05340864509344101
71,35500,"[64, 32]","[64, 32]",4.677832512259172,4.08906800703166,0,0.05366142839193344
72,36000,"[64, 32]","[64, 32]",3.6696869139861157,4.033908671469969,0,0.053882308304309845
73,36500,"[64, 32]","[64, 32]",3.673663847127076,4.102767700624791,0,0.05381973460316658
74,37000,"[64, 32]","[64, 32]",3.723694669138474,4.092356390724109,0,0.053918030112981796
75,37500,"[64, 32]","[64, 32]",5.687293527206461,4.072705229471107,0,0.05347646027803421
76,38000,"[64, 32]","[64, 32]",2.848025334718661,4.0370403380519315,0,0.05333840847015381
77,38500,"[64, 32]","[64, 32]",4.175950143172695,4.0600038713424444,0,0.053676966577768326
78,39000,"[64, 32]","[64, 32]",4.726297984244794,4.054819987647033,0,0.05378996953368187
79,39500,"[64, 32]","[64, 64]",4.776568098171612,3.6963325454272797,1,0.053601283580064774
80,40000,"[64, 64]","[64, 64]",3.485556952698473,3.727189524502488,0,0.049486685544252396
81,40500,"[64, 64]","[128, 64]",3.0340969540186142,3.5762017179870287,1,0.04971509426832199
82,41000,"[128, 64]","[128, 64]",3.6156622192729357,3.7399967995609176,0,0.04408526048064232
83,41500,"[128, 64]","[128, 64, 64]",2.817055733499153,3.88145300192704,1,0.04385090619325638
84,42000,"[128, 64, 64]","[128, 64, 64]",2.805861654107917,3.943529460412959,0,0.04474460333585739
85,42500,"[128, 64, 64]","[128, 64, 64]",3.0268987787910437,3.9810682993497206,0,0.04578367620706558
86,43000,"[128, 64, 64]","[128, 64, 64]",2.943141864204983,3.957173980934374,0,0.044928137212991714
87,43500,"[128, 64, 64]","[128, 64, 64]",4.340329216172469,4.045660217122727,0,0.04503936693072319
88,44000,"[128, 64, 64]","[128, 64, 64]",3.7605853468468644,3.9647130605117957,0,0.04561507701873779
89,44500,"[128, 64, 64]","[128, 64, 64]",3.7443278316392408,3.9872353767035906,0,0.04597935453057289
